season,home_team,away_team,home_win
20252026,EDM,CGY,0
20252026,CGY,EDM,0
20252026,CGY,SEA,1
20252026,VAN,CGY,1
20252026,WPG,CGY,1
20252026,SEA,CGY,0
20252026,CGY,VAN,0
20252026,CGY,WPG,0
20252026,EDM,CGY,0
20252026,VAN,CGY,1
20252026,CGY,STL,0
20252026,CGY,VGK,0
20252026,UTA,CGY,1
20252026,VGK,CGY,1
20252026,CGY,WPG,0
20252026,CGY,MTL,0
20252026,WPG,CGY,1
20252026,CGY,NYR,1
20252026,TOR,CGY,1
20252026,OTT,CGY,1
20252026,NSH,CGY,1
20252026,PHI,CGY,0
20252026,CGY,CBJ,1
20252026,CGY,CHI,0
20252026,MIN,CGY,1
20252026,STL,CGY,1
20252026,CGY,SJS,1
20252026,CGY,WPG,0
20252026,CHI,CGY,1
20252026,BUF,CGY,0
20252026,CGY,DAL,1
20252026,VAN,CGY,0
20252026,TBL,CGY,1
20252026,FLA,CGY,0
20252026,CAR,CGY,1
20252026,NSH,CGY,1
20252026,CGY,MIN,1
20252026,CGY,UTA,1
20252026,CGY,BUF,1
20252026,CGY,DET,0
20252026,LAK,CGY,0
20252026,SJS,CGY,1
20252026,CGY,SEA,1
20252026,CGY,VGK,1
20252026,EDM,CGY,1
20252026,CGY,EDM,1
20252026,CGY,BOS,1
20252026,CGY,PHI,1
20252026,CGY,NSH,0
20252026,CGY,SEA,0
20252026,MTL,CGY,1
20252026,BOS,CGY,1
20252026,PIT,CGY,0
20252026,CBJ,CGY,1
20252026,CHI,CGY,0
20252026,CGY,NYI,1
20252026,CGY,NJD,0
20252026,CGY,PIT,0
20252026,CGY,WSH,0
20252026,CGY,ANA,0
20252026,MIN,CGY,1
20252026,CGY,SJS,1
20252026,CGY,TOR,0
20252026,CGY,EDM,1
20252026,SJS,CGY,0
20252026,LAK,CGY,1
20252026,ANA,CGY,1
20252026,CGY,DAL,0
20252026,CGY,OTT,0
20252026,CGY,CAR,1
20252026,WSH,CGY,1
20252026,NYR,CGY,1
20252026,NJD,CGY,0
20252026,NYI,CGY,1
20252026,DET,CGY,1
20252026,CGY,STL,1
20252026,CGY,FLA,1
20252026,CGY,TBL,1
20252026,CGY,LAK,1
20252026,CGY,ANA,0
20252026,CGY,VAN,1
20252026,COL,CGY,1
20252026,VGK,CGY,1
20252026,ANA,CGY,0
20252026,DAL,CGY,1
20252026,COL,CGY,1
20252026,SEA,CGY,1
20252026,CGY,UTA,1
20252026,CGY,COL,0
20252026,CGY,LAK,1
20252026,OTT,TOR,0
20252026,TOR,OTT,0
20252026,OTT,NJD,1
20252026,OTT,MTL,0
20252026,STL,OTT,1
20252026,MTL,OTT,0
20252026,TBL,OTT,0
20252026,FLA,OTT,1
20252026,OTT,NSH,0
20252026,BUF,OTT,1
20252026,OTT,SEA,1
20252026,OTT,NYI,0
20252026,OTT,EDM,0
20252026,OTT,PHI,1
20252026,WSH,OTT,0
20252026,OTT,BOS,1
20252026,CHI,OTT,1
20252026,MTL,OTT,1
20252026,BOS,OTT,1
20252026,PHI,OTT,0
20252026,OTT,UTA,1
20252026,OTT,DAL,0
20252026,OTT,BOS,1
20252026,OTT,LAK,0
20252026,ANA,OTT,0
20252026,SJS,OTT,0
20252026,LAK,OTT,1
20252026,VGK,OTT,0
20252026,STL,OTT,1
20252026,DAL,OTT,1
20252026,MTL,OTT,0
20252026,OTT,NYR,0
20252026,OTT,STL,0
20252026,OTT,NJD,0
20252026,CBJ,OTT,0
20252026,MIN,OTT,1
20252026,WPG,OTT,0
20252026,OTT,PIT,1
20252026,OTT,CHI,1
20252026,BOS,OTT,0
20252026,OTT,BUF,0
20252026,TOR,OTT,1
20252026,OTT,CBJ,0
20252026,OTT,WSH,1
20252026,OTT,WPG,1
20252026,OTT,DET,0
20252026,UTA,OTT,1
20252026,COL,OTT,1
20252026,OTT,FLA,0
20252026,OTT,VAN,1
20252026,NYR,OTT,0
20252026,OTT,MTL,0
20252026,DET,OTT,1
20252026,CBJ,OTT,0
20252026,NSH,OTT,1
20252026,OTT,CAR,0
20252026,OTT,VGK,1
20252026,OTT,COL,1
20252026,OTT,NJD,1
20252026,PIT,OTT,0
20252026,CAR,OTT,1
20252026,PHI,OTT,0
20252026,OTT,DET,0
20252026,TOR,OTT,0
20252026,EDM,OTT,1
20252026,SEA,OTT,0
20252026,VAN,OTT,0
20252026,OTT,MTL,0
20252026,OTT,ANA,1
20252026,OTT,SJS,1
20252026,WSH,OTT,1
20252026,OTT,NYI,1
20252026,OTT,TOR,1
20252026,NYR,OTT,0
20252026,DET,OTT,0
20252026,OTT,PIT,0
20252026,TBL,OTT,1
20252026,FLA,OTT,1
20252026,OTT,BUF,1
20252026,OTT,MIN,0
20252026,OTT,CAR,1
20252026,OTT,TBL,1
20252026,OTT,FLA,1
20252026,NYI,OTT,0
20252026,NJD,OTT,1
20252026,OTT,TOR,1
20252026,CAR,OTT,1
20252026,CAR,OTT,1
20252026,OTT,CAR,0
20252026,OTT,CAR,0
20252026,CBJ,BUF,0
20252026,BUF,CBJ,1
20252026,DET,BUF,1
20252026,BUF,DET,1
20252026,BUF,PIT,0
20252026,PIT,BUF,1
20252026,BUF,NYR,0
20252026,BOS,BUF,1
20252026,BUF,COL,0
20252026,BUF,FLA,1
20252026,MTL,BUF,1
20252026,BUF,DET,1
20252026,BUF,TOR,1
20252026,TOR,BUF,1
20252026,BUF,CBJ,0
20252026,BOS,BUF,1
20252026,BUF,WSH,1
20252026,BUF,UTA,0
20252026,BUF,STL,0
20252026,CAR,BUF,1
20252026,UTA,BUF,1
20252026,COL,BUF,1
20252026,DET,BUF,0
20252026,COL,NSH,1
20252026,BUF,EDM,1
20252026,BUF,CHI,1
20252026,BUF,CAR,1
20252026,PIT,BUF,1
20252026,BUF,NJD,0
20252026,MIN,BUF,0
20252026,BUF,WPG,1
20252026,PHI,BUF,1
20252026,WPG,BUF,1
20252026,EDM,BUF,0
20252026,VAN,BUF,0
20252026,SEA,BUF,0
20252026,BUF,PHI,1
20252026,BUF,NYI,1
20252026,NJD,BUF,0
20252026,BUF,BOS,1
20252026,STL,BUF,0
20252026,DAL,BUF,0
20252026,CBJ,BUF,1
20252026,BUF,VAN,1
20252026,NYR,BUF,0
20252026,BUF,ANA,1
20252026,BUF,FLA,0
20252026,BUF,PHI,1
20252026,BUF,MTL,1
20252026,BUF,MIN,0
20252026,CAR,BUF,1
20252026,NSH,BUF,0
20252026,MTL,BUF,0
20252026,NYI,BUF,0
20252026,TOR,BUF,0
20252026,BUF,LAK,1
20252026,BUF,MTL,0
20252026,FLA,BUF,0
20252026,TBL,BUF,1
20252026,BUF,PIT,0
20252026,NJD,BUF,0
20252026,FLA,BUF,0
20252026,TBL,BUF,0
20252026,BUF,VGK,1
20252026,PIT,BUF,0
20252026,BUF,NSH,1
20252026,BUF,TBL,1
20252026,BUF,SJS,1
20252026,BUF,WSH,0
20252026,BUF,TOR,1
20252026,VGK,BUF,0
20252026,SJS,BUF,0
20252026,LAK,BUF,0
20252026,ANA,BUF,1
20252026,BUF,BOS,0
20252026,BUF,DET,0
20252026,BUF,SEA,1
20252026,BUF,NYI,1
20252026,WSH,BUF,1
20252026,BUF,TBL,1
20252026,NYR,BUF,0
20252026,BUF,CBJ,1
20252026,CHI,BUF,0
20252026,BUF,DAL,0
20252026,BUF,BOS,1
20252026,BUF,BOS,0
20252026,BOS,BUF,0
20252026,BOS,BUF,0
20252026,BUF,BOS,0
20252026,BOS,BUF,0
20252026,BUF,MTL,1
20252026,BUF,MTL,0
20252026,MTL,BUF,1
20252026,MTL,BUF,0
20252026,BUF,MTL,0
20252026,MTL,BUF,0
20252026,BUF,MTL,0
20252026,UTA,COL,0
20252026,COL,UTA,1
20252026,COL,DAL,1
20252026,COL,VGK,1
20252026,VGK,COL,1
20252026,DAL,COL,1
20252026,LAK,COL,0
20252026,COL,UTA,1
20252026,COL,DAL,0
20252026,CBJ,COL,0
20252026,COL,BOS,1
20252026,UTA,COL,1
20252026,COL,CAR,0
20252026,BOS,COL,1
20252026,NJD,COL,1
20252026,COL,NJD,1
20252026,VGK,COL,0
20252026,SJS,COL,1
20252026,COL,TBL,1
20252026,EDM,COL,0
20252026,VAN,COL,0
20252026,COL,ANA,1
20252026,COL,NYI,1
20252026,COL,NYR,1
20252026,NSH,COL,0
20252026,CHI,COL,0
20252026,COL,SJS,1
20252026,MIN,COL,1
20252026,COL,MTL,1
20252026,COL,VAN,1
20252026,NYI,COL,1
20252026,NYR,COL,0
20252026,PHI,COL,0
20252026,NSH,COL,1
20252026,COL,FLA,1
20252026,SEA,COL,0
20252026,COL,WPG,1
20252026,MIN,COL,0
20252026,COL,UTA,1
20252026,VGK,COL,0
20252026,COL,LAK,1
20252026,COL,STL,1
20252026,CAR,COL,0
20252026,FLA,COL,1
20252026,TBL,COL,1
20252026,COL,CBJ,1
20252026,COL,TOR,0
20252026,COL,NSH,0
20252026,COL,WSH,1
20252026,COL,ANA,0
20252026,COL,PHI,0
20252026,TOR,COL,0
20252026,MTL,COL,1
20252026,DET,COL,0
20252026,COL,DET,0
20252026,COL,SJS,1
20252026,UTA,COL,0
20252026,COL,MIN,0
20252026,COL,CHI,1
20252026,LAK,COL,0
20252026,ANA,COL,0
20252026,DAL,COL,0
20252026,COL,MIN,1
20252026,COL,EDM,0
20252026,SEA,COL,0
20252026,WPG,COL,1
20252026,COL,PIT,0
20252026,COL,DAL,0
20252026,CHI,COL,0
20252026,WSH,COL,0
20252026,PIT,COL,0
20252026,WPG,COL,0
20252026,COL,WPG,0
20252026,COL,VAN,0
20252026,DAL,COL,0
20252026,COL,STL,0
20252026,STL,COL,0
20252026,COL,VGK,0
20252026,EDM,COL,0
20252026,COL,SEA,1
20252026,COL,LAK,1
20252026,COL,LAK,1
20252026,LAK,COL,0
20252026,LAK,COL,0
20252026,COL,MIN,1
20252026,COL,MIN,1
20252026,MIN,COL,1
20252026,MIN,COL,0
20252026,COL,MIN,1
20252026,COL,VGK,0
20252026,COL,VGK,0
20252026,VGK,COL,1
20252026,VGK,COL,1
20252026,MTL,TOR,0
20252026,TOR,MTL,0
